Quadrat,Clover (Trifolium repens),Dandelion (Taraxacum ),Ribwort plantain (Plantago lanceolata),Yarrow (Achillea millefolium),Group,,,
1,1,1,1,1,A,,,
2,1,1,1,1,,,,
3,1,1,1,1,,,,
4,1,1,1,1,,,,
5,0,0,0,0,,,,
6,1,0,1,0,,,,
7,1,0,1,0,,,,
8,1,1,1,1,,,,
9,1,1,1,1,,,,
10,1,1,1,0,,,,
11,1,1,1,1,,,,
12,0,1,1,0,,,,
13,0,1,1,1,,,,
14,1,0,0,0,,,,
15,1,1,1,0,,,,
16,1,1,1,1,,,,
17,1,1,1,1,,,,
18,1,1,1,1,,,,
19,1,1,1,1,,,,
20,1,1,1,1,,,,
21,1,1,1,1,,,,
22,0,1,1,0,,,,
23,1,1,1,0,,,,
24,1,1,1,0,,,,
25,1,1,1,1,,,,
26,1,1,1,1,,,,
27,1,1,0,0,,,,
28,0,1,1,0,,,,
29,1,1,1,1,,,,
30,0,1,0,0,,,,
31,1,1,1,1,B,,,
32,0,0,1,1,,,,
33,1,1,1,1,,,,
34,1,0,1,1,,,,
35,0,1,1,1,,,,
36,0,1,1,1,,,,
37,0,1,1,1,,,,
38,1,1,0,0,,,,
39,1,1,1,0,,,,
40,1,1,1,0,,,,
41,1,1,1,0,,,,
42,1,0,1,0,,,,
43,1,0,1,0,,,,
44,0,1,1,0,,,,
45,1,1,1,1,,,,
46,1,1,0,1,,,,
47,0,0,0,1,,,,
48,1,1,0,1,,,,
49,1,1,1,1,,,,
50,1,1,1,0,,,,
51,1,1,1,1,,,,
52,1,1,1,0,,,,
53,1,1,1,1,,,,
54,1,1,1,0,,,,
55,1,1,1,0,,,,
56,1,1,0,0,,,,
57,1,1,1,1,,,,
58,1,1,1,0,,,,
59,1,1,1,0,,,,
60,0,1,1,0,,,,
61,0,1,1,0,C,,,
62,1,1,1,1,,,,
63,0,1,1,1,,,,
64,1,1,1,1,,,,
65,1,1,1,1,,,,
66,1,1,1,1,,,,
67,1,1,1,1,,,,
68,1,1,1,1,,,,
69,1,1,1,1,,,,
70,0,0,1,1,,,,
71,1,1,0,0,,,,
72,1,1,0,0,,,,
73,1,1,1,1,,,,
74,1,1,1,1,,,,
75,1,1,1,0,,,,
76,0,1,1,1,,,,
77,1,1,1,1,,,,
78,0,1,1,0,,,,
79,1,1,1,0,,,,
80,1,0,1,1,,,,
81,1,1,1,1,,,,
82,1,1,1,1,,,,
83,1,1,1,1,,,,
84,1,1,1,0,,,,
85,1,1,1,1,,,,
86,1,1,1,1,,,,
87,1,1,1,1,,,,
88,1,1,1,1,,,,
89,1,1,1,1,,,,
90,1,1,1,1,,,,
91,1,1,0,1,D,,,
92,1,1,0,0,,,,
93,1,0,0,0,,,,
94,1,1,0,1,,,,
95,1,1,0,0,,,,
96,1,1,1,0,,,,
97,1,0,0,0,,,,
98,1,0,1,0,,,,
99,1,0,1,0,,,,
100,1,0,0,0,,,,
101,1,0,0,0,,,,
102,1,1,1,1,,,,
103,1,0,0,0,,,,
104,1,0,0,1,,,,
105,1,1,1,0,,,,
106,0,0,0,1,,,,
107,1,1,0,0,,,,
108,1,1,0,1,,,,
109,1,1,1,1,,,,
110,1,1,0,1,,,,
111,1,0,0,1,,,,
112,1,1,1,1,,,,
113,0,0,0,0,,,,
114,1,1,0,0,,,,
115,1,0,1,1,,,,
116,0,1,0,0,,,,
117,1,1,1,1,,,,
118,1,0,1,1,,,,
119,0,1,1,1,,,,
120,1,1,1,1,,,,
121,1,1,1,0,E,,,
122,0,1,1,0,,,,
123,1,0,0,0,,,,
124,0,1,0,1,,,,
125,0,1,1,0,,,,
126,1,1,1,1,,,,
127,1,1,1,1,,,,
128,0,1,0,1,,,,
129,1,1,1,1,,,,
130,1,1,1,1,,,,
131,1,1,1,1,,,,
132,1,1,1,0,,,,
133,1,1,1,0,,,,
134,1,1,1,1,,,,
135,1,1,1,1,,,,
136,1,1,1,1,,,,
137,1,1,1,1,,,,
138,1,1,1,1,,,,
139,1,1,1,1,,,,
140,1,0,0,1,,,,
141,1,1,1,1,,,,
142,1,1,1,1,,,,
143,1,1,1,1,,,,
144,1,0,0,1,,,,
145,1,1,0,0,,,,
146,1,1,0,0,,,,
147,0,1,0,1,,,,
148,1,1,1,1,,,,
149,0,1,1,1,,,,
150,1,1,0,1,,,,
151,1,1,1,1,F,,,
152,1,1,1,1,,,,
153,1,1,1,1,,,,
154,1,0,1,1,,,,
155,0,1,1,1,,,,
156,1,1,0,1,,,,
157,1,0,1,1,,,,
158,1,1,1,0,,,,
159,1,0,0,0,,,,
160,1,1,1,1,,,,
161,1,1,1,1,,,,
162,1,1,1,1,,,,
163,1,1,1,1,,,,
164,1,1,1,1,,,,
165,1,1,1,1,,,,
166,1,1,0,1,,,,
167,0,1,0,0,,,,
168,1,1,0,0,,,,
169,1,1,1,0,,,,
170,1,1,1,1,,,,
171,1,1,1,1,,,,
172,1,1,0,1,,,,
173,1,1,0,0,,,,
174,1,1,1,0,,,,
175,1,1,1,0,,,,
176,1,1,0,1,,,,
177,1,1,1,1,,,,
178,1,1,1,1,,,,
179,1,1,1,1,,,,
180,1,1,1,1,,,,
181,1,1,1,1,G,,,
182,1,1,1,1,,,,
183,1,1,1,1,,,,
184,0,0,1,0,,,,
185,1,1,0,1,,,,
186,1,1,1,1,,,,
187,1,1,1,1,,,,
188,1,1,1,0,,,,
189,1,1,1,1,,,,
190,1,1,1,1,,,,
191,1,1,1,0,,,,
192,0,0,1,1,,,,
193,1,1,0,0,,,,
194,0,1,1,0,,,,
195,1,1,1,1,,,,
196,1,1,1,1,,,,
197,1,1,1,1,,,,
198,0,1,1,1,,,,
199,1,1,1,1,,,,
200,1,1,1,0,,,,
201,1,1,1,1,,,,
202,1,1,1,0,,,,
203,1,1,1,1,,,,
204,1,1,1,0,,,,
205,1,1,1,1,,,,
206,1,1,1,1,,,,
207,1,1,1,1,,,,
208,1,1,1,1,,,,
209,0,1,1,1,,,,
210,1,1,1,0,,,,
211,1,1,1,1,H,,,
212,1,0,1,1,,,,
213,0,1,1,1,,,,
214,0,1,1,1,,,,
215,0,1,1,0,,,,
216,0,0,1,0,,,,
217,1,1,1,1,,,,
218,1,1,1,1,,,,
219,1,1,1,1,,,,
220,1,1,0,1,,,,
221,1,1,1,1,,,,
222,0,0,1,0,,,,
223,1,0,1,0,,,,
224,1,1,1,0,,,,
225,1,1,1,1,,,,
226,1,1,1,0,,,,
227,1,1,0,1,,,,
228,1,1,1,1,,,,
229,1,0,1,0,,,,
230,1,0,1,1,,,,
231,1,1,1,0,,,,
232,0,1,1,1,,,,
233,1,1,1,1,,,,
234,1,1,1,0,,,,
235,1,1,1,1,,,,
236,0,1,0,1,,,,
237,0,1,1,1,,,,
238,0,1,1,1,,,,
239,1,0,1,1,,,,
240,1,0,1,1,,,,
241,1,0,1,1,I,,,
242,1,1,1,1,,,,
243,1,1,1,1,,,,
244,1,1,1,1,,,,
245,1,1,1,1,,,,
246,1,0,0,0,,,,
247,0,1,0,0,,,,
248,0,0,1,1,,,,
249,1,1,0,1,,,,
250,1,1,1,1,,,,
251,1,0,1,1,,,,
252,1,1,1,1,,,,
253,1,0,0,1,,,,
254,0,1,1,1,,,,
255,1,1,1,1,,,,
256,1,1,1,1,,,,
257,1,1,1,0,,,,
258,1,1,1,0,,,,
259,1,1,1,1,,,,
260,1,0,0,1,,,,
261,1,0,0,0,,,,
262,1,0,0,0,,,,
263,1,0,0,0,,,,
264,0,1,0,1,,,,
265,0,1,1,0,,,,
266,1,1,1,0,,,,
267,1,0,0,0,,,,
268,1,1,1,1,,,,
269,1,1,1,1,,,,
270,1,1,0,1,,,,
271,0,0,1,1,J,,,
272,1,1,1,0,,,,
273,0,1,1,1,,,,
274,0,1,1,1,,,,
275,1,1,0,1,,,,
276,1,1,1,1,,,,
277,1,1,0,1,,,,
278,1,1,1,1,,,,
279,1,1,0,1,,,,
280,1,0,1,1,,,,
281,1,1,1,0,,,,
282,1,1,1,1,,,,
283,1,1,1,0,,,,
284,0,1,0,1,,,,
285,1,1,1,1,,,,
286,1,1,0,1,,,,
287,1,1,0,1,,,,
288,0,0,1,1,,,,
289,1,1,1,1,,,,
290,1,1,1,0,,,,
291,1,1,1,1,,,,
292,1,1,1,1,,,,
293,1,1,1,0,,,,
294,1,1,1,1,,,,
295,1,1,1,1,,,,
296,1,1,1,1,,,,
297,1,1,1,1,,,,
298,1,1,1,1,,,,
299,1,1,1,1,,,,
300,1,1,1,1,,,,